word_decimal	rank	phase
16979596749968600	92898	1
16979596750099606	99194	0
16979596750099670	99188	0
16979596750115476	99182	0
16979596750115478	92898	1
16979596750115540	98405	0
16979596750115542	92898	1
16986037759939696	88087	0
16986177168610428	88084	0
16986177168610486	88083	0
16986177168610518	88082	0
16986193811346588	88081	0
16986193811346650	88080	0
16986193819735186	88079	0
16986193819735250	88076	0
16986193853289616	88066	0
16986193853289680	88056	0
16988376191734908	88053	0
16988376191734966	88052	0
16988376191734998	88050	0
16988376191775356	88031	0
16988376191775446	88026	0
16988376191775868	88010	0
16988376191775958	88008	0
17014229822920336	98363	0
17014487623448624	88005	0
17014487623448630	88003	0
17014487623448656	88000	0
17014627033945306	87995	0
17014627042333878	87988	0
17014634554071606	101245	0
17014634554071612	101243	0
17014634554071613	101241	0
17014634554071766	101239	0
17014634554118838	92898	1
17014634554120758	101234	0
17014634554120764	101227	0
17014634554202684	101224	0
17014634554202685	101223	0
17014634554202836	101221	0
17014634554249908	101214	0
17014634554251836	101208	0
17014634558265910	101200	0
17014634558265912	101199	0
17014634558396984	101194	0
17014762493228240	87986	0
17014764472898778	87981	0
17014764472939226	87965	0
17014764472939738	87959	0
17014764473029816	87937	0
17014764473029848	87936	0
17014764479190230	87930	0
17014771993025078	101187	0
17014771993025084	101185	0
17014771993025238	101182	0
17014771993064150	101177	0
17014771993156156	101172	0
17014771993156308	101169	0
17014771993195220	101164	0
17014771995122230	101155	0
17014771995122232	101154	0
17014771995122390	101142	0
17014771995122392	101141	0
17014771995253304	101136	0
17014771995253460	101125	0
17014771995253464	92898	1
17014780582959158	101119	0
17014780582959164	101118	0
17014780582959286	101116	0
17014780582959318	101114	0
17014780582982326	92898	1
17014780582982358	92898	1
17014780583090236	99345	0
17014780583090356	99343	0
17014780583090388	99340	0
17014780585056310	99333	0
17014780585056470	99326	0
17014780585079446	99320	0
17014780585079510	99292	0
17014780585079512	99281	0
17014780585187540	99262	0
17016686646573104	87920	0
17016686646573110	87919	0
17016686646573136	87910	0
17016826065589426	92898	1
17016826065589430	92898	1
17016826099143856	87903	0
17016826099143862	87899	0
17016833577245238	87898	0
17016833577245244	87863	0
17016833577458236	87862	0
17016833577458237	87861	0
17016833577458386	87860	0
17016833577507388	87856	0
17016833581652536	87855	0
17016833611012816	87834	0
17016833736888376	87833	0
17016833736888380	87801	0
17016963502445778	87794	0
17016963502445782	87785	0
17016963536000208	87770	0
17016963536000214	87709	0
17016971016411708	87708	0
17016971016411858	87704	0
17016971018508856	87703	0
17016971018509010	87690	0
17016971018509016	87684	0
17016971049966288	87675	0
17016971052063440	87665	0
17016971052063448	87661	0
17016971175833656	87660	0
17016971175833660	87634	0
17016971175833816	87632	0
17016971175834328	87621	0
17016979606345788	87620	0
17016979606345906	87619	0
17016979606345938	87616	0
17016979608443090	87600	0
17016979639900336	87597	0
17016979639900368	87592	0
17016979641997520	87565	0
17023017327703696	87530	0
17023560563823798	87529	0
17023560563823830	87527	0
17023560563864156	87518	0
17023560563864278	87514	0
17023560563864790	87512	0
17023560565568728	87511	0
17023560565920946	87510	0
17023560565920978	87508	0
17023560565961938	87507	0
17023560599475376	87503	0
17023560599475408	87496	0
17023560599516368	87494	0
17023560628875478	87492	0
17023560628875990	87483	0
17023568079887064	87474	0
17023568079925916	87468	0
17023568079925976	87457	0
17032372771123926	87449	0
17049405601011376	87447	0
17049415738463446	87442	0
17049415740560566	87437	0
17049551667255344	87435	0
17049552640284726	87430	0
17049552640284886	87424	0
17049552640333878	87415	0
17049552642381878	87411	0
17049552642381882	87410	0
17049552642382006	87406	0
17049818924063292	87830	0
17049818924063293	87403	0
17049818924112444	87823	0
17049818930354742	87399	0
17049818930354743	87398	0
17049818930354744	87397	0
17049818930485816	87396	0
17049818930485876	87392	0
17049956363016764	89881	0
17049956363055834	89876	0
17049956367211062	87388	0
17049956367211063	87387	0
17049956367211064	87386	0
17049956367211222	87381	0
17049956367211223	87380	0
17049956367211224	87379	0
17049956367342136	87378	0
17049956367342196	87374	0
17049956367342292	87367	0
17049956367342296	87363	0
17049964952950842	87362	0
17049964952950843	87361	0
17049964952950844	87263	0
17049964952951002	87262	0
17049964957145142	87259	0
17049964957145302	87255	0
17049964957168342	87247	0
17049964957168344	87243	0
17049964957276372	87239	0
17049965487985882	87193	0
17049965494146264	87189	0
17049965494277334	87185	0
17049965494293204	87181	0
17049965494293206	87171	0
17049965561401558	87168	0
17049965561401814	87164	0
17049965561402064	87162	0
17049965561402070	87159	0
17051750690347056	87154	0
17051750690347216	87147	0
17051750690379824	87138	0
17051750692444208	87134	0
17051750692444218	87133	0
17051750692444336	87129	0
17051751663458358	92898	1
17052016980417072	87123	0
17052016980417080	87122	0
